Latitude,Longitude,Bridge_Condition
33.908411,-87.288211,Poor
33.764153,-87.358486,Poor
33.564936,-88.077364,Poor
33.439958,-86.699156,Poor
32.811647,-85.169233,Poor
33.513133,-86.801117,Poor
34.1844,-86.847489,Poor
32.611822,-88.348906,Poor
32.150283,-86.9885,Poor
33.895786,-87.496908,Poor
33.513769,-86.803414,Poor
33.514436,-86.802025,Poor
34.427556,-86.928925,Poor
33.539203,-86.821142,Poor
32.965722,-86.149503,Poor
32.181303,-88.411369,Poor
32.914086,-87.8506,Poor
33.129664,-85.461108,Poor
33.718303,-87.302611,Poor
32.751028,-85.559189,Poor
32.834733,-85.763964,Poor
33.034142,-85.517239,Poor
34.507353,-86.708792,Poor
32.959811,-85.677206,Poor
33.051722,-85.663519,Poor
34.584897,-85.740303,Poor
33.008761,-85.631169,Poor
34.344525,-86.073783,Poor
32.896631,-85.832681,Poor
33.078961,-85.694711,Poor
33.049178,-86.761814,Poor
32.355033,-85.095333,Poor
33.2038,-86.205,Poor
34.263167,-85.862208,Poor
34.128994,-86.308919,Poor
34.2918,-86.3534,Poor
32.738425,-85.740067,Poor
34.670042,-87.317369,Poor
34.669422,-87.315836,Poor
34.481597,-87.299036,Poor
32.247464,-85.395528,Poor
34.671467,-87.323867,Poor
34.833917,-87.410861,Poor
34.517961,-86.385567,Poor
32.191356,-88.368944,Poor
34.16565,-86.143675,Poor
32.758333,-88.105,Poor
33.754917,-88.101111,Poor
33.754997,-88.101553,Poor
32.536983,-85.874797,Poor
32.363667,-85.784664,Poor
34.097056,-85.965128,Poor
30.691389,-87.706361,Poor
33.402725,-88.191167,Poor
32.177336,-88.416706,Poor
34.231589,-87.630336,Poor
33.8368,-87.2904,Poor
32.884186,-85.8207,Poor
32.999339,-86.080789,Poor
33.343447,-87.917531,Poor
33.343447,-87.917531,Poor
33.388333,-88.058333,Poor
33.906058,-85.520725,Poor
31.476808,-86.658467,Poor
32.791056,-85.350664,Poor
33.469481,-86.033222,Poor
34.4032,-86.624161,Poor
33.0968,-85.798864,Poor
32.635467,-86.240556,Poor
34.255797,-86.495719,Poor
33.583333,-86.816667,Poor
33.445964,-85.436964,Poor
33.335511,-85.35625,Poor
34.394006,-85.797819,Poor
31.531653,-86.319039,Poor
33.69005,-87.01645,Poor
31.820328,-86.671025,Poor
34.539086,-88.102453,Poor
33.768764,-85.864592,Poor
34.449864,-85.995878,Poor
33.268333,-87.916667,Poor
33.393317,-86.959522,Poor
33.622108,-86.803239,Poor
34.382733,-87.836725,Poor
34.988939,-87.276686,Poor
33.826508,-87.277347,Poor
33.45,-86.916667,Poor
34.858386,-87.735328,Poor
32.548917,-85.676825,Poor
33.733822,-85.877542,Poor
31.593958,-86.171839,Poor
34.771411,-87.826142,Poor
34.802694,-87.837128,Poor
34.975553,-87.33195,Poor
34.956161,-88.024258,Poor
32.970067,-87.794431,Poor
34.864581,-87.586192,Poor
33.343589,-87.917683,Poor
34.959214,-87.27375,Poor
34.939781,-87.336014,Poor
34.939567,-87.335844,Poor
32.431028,-85.275228,Poor
34.968842,-87.777919,Poor
