Bridge_ID,Latitude,Longitude,Year_Built,Bridge_Condition,Average Daily_Traffic,Deck_Width,Structure_Length,SqFt,Repair_Cost_Est,Replacement_Cost_Est,Address
452997,40.10345,-74.961092,1990,Good,9729,13.0,18.3,237.9,"$50,796.41","$74,700.60","Dunksferry Road, Mechanicsville, 19020"
466574,40.017092,-75.211428,1928,Fair,14596,19.2,32.9,631.68,"$134,876.31","$198,347.52","Ridge Avenue, Wissahickon, 19127"
466580,39.963467,-75.186778,1964,Poor,27042,16.1,167.0,2688.7000000000003,"$574,091.22","$844,251.80","Spring Garden Street, Mantua, 19104"
466581,39.963861,-75.185025,1964,Poor,27042,16.2,27.1,439.02,"$93,739.55","$137,852.28","2917, Spring Garden Street, Mantua, 19104"
466617,40.035356,-75.208878,1957,Fair,28301,20.7,115.2,2384.64,"$509,168.33","$748,776.96","Henry Avenue, 19127"
466638,40.005244,-75.131928,1926,Poor,14600,18.3,26.5,484.95000000000005,"$103,546.52","$152,274.30","North 2nd Street, Chopersville, 19140"
466639,39.996797,-75.133711,1964,Fair,11400,9.7,66.1,641.1699999999998,"$136,902.62","$201,327.38","3099, North 2nd Street, Chopersville, 19133"
466640,40.011286,-75.130581,1926,Fair,8800,15.5,23.2,359.59999999999997,"$76,781.79","$112,914.40","North 2nd Street, Franklinville, 19140"
466641,39.993506,-75.128647,1916,Poor,3200,15.3,56.1,858.33,"$183,270.62","$269,515.62","2859, A Street, 19134"
466642,40.018283,-75.1359,1930,Poor,1500,11.4,21.0,239.4,"$51,116.69","$75,171.60","West Cayuga Street, Hunting Park, 19140"
466643,40.014492,-75.178256,1960,Poor,10000,20.3,31.7,643.51,"$137,402.26","$202,062.14","Roosevelt Expressway, East Falls, 19129"
466644,39.994858,-75.130047,1985,Fair,8000,16.0,31.1,497.6,"$106,247.55","$156,246.40","North Front Street, 19120"
466645,40.004997,-75.1279,1908,Good,11500,22.9,74.4,1703.76,"$363,786.84","$534,980.64","North Front Street, Chopersville, 19120"
466646,40.02845,-75.178767,1883,Good,6500,14.3,10.1,144.43,"$30,838.69","$45,351.02","West School House Lane, Germantown - Westside, 19129"
466647,40.021994,-75.127969,1907,Fair,6700,24.3,21.9,532.17,"$113,628.94","$167,101.38","185, West Wyoming Avenue, Feltonville, 19140"
466648,40.01605,-75.175225,1929,Poor,13600,24.4,20.4,497.75999999999993,"$106,281.72","$156,296.64","West Abbottsford Avenue, Abbotsford Homes, 19129"
466649,39.960072,-75.163672,1898,Good,7800,15.3,78.0,1193.4,"$254,814.77","$374,727.60","412, North 15th Street, Center City, 19130"
466650,39.960675,-75.165161,1968,Fair,5300,15.5,19.5,302.25,"$64,536.42","$94,906.50","North 16th Street, Center City, 19132"
466651,39.954011,-75.166553,1957,Fair,17600,21.3,21.3,453.69000000000005,"$96,871.89","$142,458.66","45, North 16th Street, Gayborhood, Center City, 19130"
466652,39.960903,-75.166742,1898,Fair,2100,15.1,25.0,377.5,"$80,603.80","$118,535.00","Community College of Philadelphia - Main Campus, 1700, Spring Garden Street, Center City, 19130"
466653,39.999025,-75.158678,1988,Fair,9700,20.8,42.4,881.92,"$188,307.56","$276,922.88","2969, North 17th Street, 19132"
466654,39.954269,-75.168147,1957,Fair,10100,15.2,15.2,231.04,"$49,331.66","$72,546.56","North 17th Street, Rittenhouse Square, Center City, 19130"
466655,39.961086,-75.168292,1898,Fair,3300,15.3,26.2,400.86,"$85,591.63","$125,870.04","North 18th Street, Center City, 19130"
466656,39.954467,-75.169736,1957,Fair,11000,0.0,15.2,0.0,$0.00,$0.00,"North 18th Street, Rittenhouse Square, Center City, 19103"
